pdate,name,weekday,volumn,open,high,low,close,adjclose
1997/7/2,^TWII,3,0,9094.269531,9124.299805,8988.129883,8996.687016,8996.687016
1997/7/3,^TWII,4,0,9061.599609,9061.599609,8997.509766,9027.597059,9027.597059
1997/7/4,^TWII,5,0,9144.959961,9218.209961,9119.25,9192.536889,9192.536889
1997/7/7,^TWII,1,0,9365.19043,9370.410156,9304.820312,9322.805947,9322.805947
1997/7/8,^TWII,2,0,9345.549805,9371.5,9282.099609,9305.235698,9305.235698
1997/7/9,^TWII,3,0,9391.280273,9415.580078,9343.299805,9362.645646,9362.645646
1997/7/10,^TWII,4,0,9470.929688,9511.799805,9420.709961,9429.705949,9429.705949
1997/7/11,^TWII,5,0,9498.070312,9526.740234,9333.790039,9394.595725,9394.595725
1997/7/14,^TWII,1,0,9626.339844,9626.339844,9561.080078,9593.505158,9593.505158
1997/7/15,^TWII,2,0,9714.780273,9714.780273,9451.450195,9555.945724,9555.945724
1997/7/16,^TWII,3,0,9634.790039,9648.429688,9482.450195,9544.524867,9544.524867
1997/7/17,^TWII,4,0,9742.580078,9889.450195,9571.799805,9571.765003,9571.765003
1997/7/18,^TWII,5,0,9669.740234,9677.400391,9555.980469,9677.365205,9677.365205
1997/7/21,^TWII,1,0,9814.25,9896.730469,9750.700195,9833.733777,9833.733777
1997/7/22,^TWII,2,0,9877.389648,9877.389648,9543.759766,9550.365666,9550.365666
1997/7/23,^TWII,3,0,9694.280273,9694.280273,9345.900391,9381.025462,9381.025462
1997/7/24,^TWII,4,0,9500.860352,9632.419922,9475.540039,9632.3849,9632.3849
1997/7/25,^TWII,5,0,9719.05957,9819.769531,9710.269531,9808.874492,9808.874492
1997/7/28,^TWII,1,0,9929.980469,9995.370117,9899.580078,9923.013726,9923.013726
1997/8/7,^TWII,4,0,9935.209961,9962.209961,9822.139648,9840.844103,9840.844103
1997/8/8,^TWII,5,0,9921.910156,9934.540039,9851.790039,9923.803762,9923.803762
1997/8/12,^TWII,2,0,9895.990234,9932.339844,9759.360352,9807.704575,9807.704575
1997/8/13,^TWII,3,0,9870.240234,9870.240234,9547.799805,9556.085372,9556.085372
1997/8/14,^TWII,4,0,9659.69043,9659.69043,9501.629883,9632.304822,9632.304822
1997/8/15,^TWII,5,0,9728.490234,9804.200195,9700.75,9770.764279,9770.764279
1997/8/19,^TWII,2,0,9788.240234,9806.290039,9703.900391,9712.414882,9712.414882
1997/8/20,^TWII,3,0,9831.55957,9856.589844,9797.25,9855.124324,9855.124324
1997/9/1,^TWII,1,0,9861.75,9861.75,9499.519531,9504.955675,9504.955675
1997/9/2,^TWII,2,0,9564.44043,9564.44043,9185.490234,9211.636429,9211.636429
1997/9/3,^TWII,3,0,9460.75,9502.730469,9375.769531,9460.725367,9460.725367
1997/9/4,^TWII,4,0,9421.339844,9466.610352,9117.870117,9147.816349,9147.816349
1997/9/5,^TWII,5,0,9278.30957,9304.099609,9141.429688,9290.35587,9290.35587
1997/9/8,^TWII,1,0,9357.030273,9357.030273,9133.429688,9149.256773,9149.256773
1997/9/9,^TWII,2,0,9154.05957,9174.429688,9002.769531,9079.32734,9079.32734
1997/9/10,^TWII,3,0,9242.980469,9269.870117,9134.429688,9145.146437,9145.146437
1997/9/11,^TWII,4,0,9038.900391,9134.450195,9027.879883,9115.066468,9115.066468
1997/9/12,^TWII,5,0,9157.230469,9191.719727,9142.530273,9155.206947,9155.206947
1997/9/15,^TWII,1,0,8996.709961,9020.730469,8898.129883,8931.987055,8931.987055
1997/9/17,^TWII,3,0,9070.230469,9123.169922,9020.370117,9087.516763,9087.516763
1997/9/18,^TWII,4,0,9075.320312,9141.330078,9055.370117,9141.296841,9141.296841
1997/9/19,^TWII,5,0,9189.589844,9292.120117,9187.209961,9243.676352,9243.676352
1997/9/22,^TWII,1,0,9257.089844,9288.950195,9216.580078,9220.956708,9220.956708
1997/9/23,^TWII,2,0,9230.089844,9230.089844,9053.769531,9073.73654,9073.73654
1997/9/24,^TWII,3,0,9032,9083.950195,8978.730469,8993.98683,8993.98683
1997/9/25,^TWII,4,0,9168.110352,9168.110352,8785.959961,8791.777604,8791.777604
1997/9/26,^TWII,5,0,8750.780273,8829.099609,8599.820312,8718.968299,8718.968299
1997/9/30,^TWII,2,0,8806.839844,8812.009766,8658.05957,8708.798414,8708.798414
1997/10/1,^TWII,3,0,8737.080078,8737.080078,8625.839844,8694.987917,8694.987917
1997/10/2,^TWII,4,0,8698.669922,8733.610352,8502.299805,8504.629234,8504.629234
1997/10/3,^TWII,5,0,8393.879883,8537.179688,8393.879883,8537.148647,8537.148647
1997/10/6,^TWII,1,0,8405.299805,8498.740234,8384.349609,8392.559329,8392.559329
1997/10/7,^TWII,2,0,8285.280273,8368.290039,8177.540039,8221.319718,8221.319718
1997/10/8,^TWII,3,0,8285.889648,8325.610352,8204.910156,8255.790295,8255.790295
1997/10/9,^TWII,4,0,8373.200195,8461.870117,8364.759766,8461.839351,8461.839351
1997/10/13,^TWII,1,0,8503.799805,8512.570312,8444.179688,8463.129385,8463.129385
1997/10/14,^TWII,2,0,8480.769531,8489.379883,8391.299805,8429.318961,8429.318961
1997/10/15,^TWII,3,0,8381.299805,8392.540039,8256.320312,8262.37035,8262.37035
1997/10/16,^TWII,4,0,8177.390137,8203.129883,7967.410156,7997.780979,7997.780979
1997/10/17,^TWII,5,0,8084.189941,8084.189941,7654.879883,7832.121426,7832.121426
1997/10/20,^TWII,1,0,7579.859863,7579.859863,7274.970215,7316.753182,7316.753182
1997/10/21,^TWII,2,0,7468.830078,7734.049805,7468.830078,7734.021685,7734.021685
1997/10/22,^TWII,3,0,7752.319824,7835.549805,7529.359863,7692.442246,7692.442246
1997/10/23,^TWII,4,0,7739.549805,7901.810059,7669.759766,7824.981315,7824.981315
1997/10/24,^TWII,5,0,7536.029785,7741.810059,7536.029785,7719.011974,7719.011974
1997/10/27,^TWII,1,0,7719.859863,7788.419922,7655.990234,7662.501925,7662.501925
1997/10/28,^TWII,2,0,7280.640137,7339.600098,7186.700195,7209.983551,7209.983551
1997/10/29,^TWII,3,0,7391.310059,7391.310059,7089.560059,7089.534282,7089.534282
1997/10/30,^TWII,4,0,7136.240234,7315.819824,7040.540039,7313.373312,7313.373312
1997/11/3,^TWII,1,0,7419.339844,7651.629883,7406.100098,7646.322296,7646.322296
1997/11/4,^TWII,2,0,7835.600098,7940.200195,7764.029785,7785.291518,7785.291518
1997/11/5,^TWII,3,0,7733.220215,7864.220215,7733.220215,7864.191621,7864.191621
