pdate,weekday,column,open,high,low,close,adjclose,change,changePercent
2003/1/2,4,3332000,4460.569824,4553.109863,4431.189941,4524.870117,4524.853665,72.419922,0.016265184
2003/1/3,5,4723600,4618.240234,4641.459961,4602.240234,4626.319824,4626.303003,101.449707,0.022420468
2003/1/6,1,4714400,4653.990234,4710.310059,4635.870117,4689.859863,4689.842811,63.540039,0.013734467
2003/1/7,2,5686800,4759.810059,4776.149902,4695.439941,4701.080078,4701.062986,11.220215,0.002392441
2003/1/8,3,6280200,4722.990234,4859.779785,4722.990234,4836.930176,4836.912589,135.850098,0.028897635
2003/1/9,4,6704200,4833.549805,4867.399902,4798.160156,4813.72998,4813.712478,-23.200196,-0.004796471
2003/1/10,5,6148000,4882.069824,4884.640137,4827.910156,4850.799805,4850.782168,37.069825,0.007700853
2003/1/13,1,5830800,4895.299805,5000.140137,4895.299805,4991.259766,4991.241618,140.459961,0.028956042
2003/1/14,2,6779200,5014.950195,5057.209961,4985.620117,4992.419922,4992.40177,1.160156,0.000232438
2003/1/15,3,6403200,5039.759766,5039.759766,4952.160156,5017.700195,5017.681952,25.280273,0.005063731
2003/1/17,5,5746600,4955.939941,4983.810059,4897.029785,4907.779785,4907.761941,-109.92041,-0.021906532
2003/1/20,1,4628000,4875.740234,4951.029785,4875.740234,4951.029785,4951.011784,43.25,0.008812539
2003/1/21,2,6541800,4972.850098,5031.680176,4942.180176,4945.870117,4945.852135,-5.159668,-0.00104214
2003/1/22,3,5901200,4955.709961,4993.27002,4905.790039,4993.27002,4993.251865,47.399903,0.009583734
2003/1/23,4,7630600,5035.790039,5102.77002,5035.790039,5078.799805,5078.781339,85.529785,0.017129013
2003/1/24,5,6959000,5141.799805,5141.799805,5053.549805,5057.319824,5057.301436,-21.479981,-0.004229342
2003/1/27,1,5779600,5037.100098,5055.310059,4942.890137,4972.589844,4972.571764,-84.72998,-0.01675393
2003/1/28,2,4853800,4949.470215,5023.240234,4946.939941,5015.160156,5015.141922,42.570312,0.008560994
2003/2/6,4,4813200,4975.649902,4975.649902,4833.580078,4833.580078,4833.562504,-181.580078,-0.036206237
2003/2/7,5,5070600,4797.379883,4833.839844,4641.060059,4735.370117,4735.3529,-98.209961,-0.020318265
2003/2/10,1,3342600,4696.569824,4715.180176,4627.529785,4643.870117,4643.853233,-91.5,-0.019322671
2003/2/11,2,3414600,4692.819824,4704.459961,4613.620117,4618.97998,4618.963186,-24.890137,-0.005359783
2003/2/12,3,3546600,4599.669922,4666.209961,4592.410156,4624.870117,4624.853302,5.890137,0.001275203
2003/2/13,4,3287200,4616.620117,4639.560059,4507.959961,4507.959961,4507.943571,-116.910156,-0.025278581
2003/2/14,5,3208200,4562.240234,4569.830078,4463.060059,4493.990234,4493.973895,-13.969727,-0.003098902
2003/2/17,1,3502200,4629.569824,4707.72998,4613.359863,4705.080078,4705.062971,211.089844,0.046971585
2003/2/18,2,3550200,4698.100098,4698.100098,4595.97998,4605.310059,4605.293314,-99.770019,-0.021204744
2003/2/19,3,3635200,4670.149902,4672.029785,4550.830078,4550.830078,4550.813532,-54.479981,-0.011829818
2003/2/20,4,3366200,4555.649902,4606.75,4520.759766,4550.700195,4550.683649,-0.129883,-2.85E-05
2003/2/21,5,2670400,4584.600098,4594.669922,4538.459961,4548.350098,4548.33356,-2.350097,-0.000516425
2003/2/24,1,2485600,4585.799805,4613.080078,4538.549805,4609.200195,4609.183437,60.850097,0.013378499
2003/2/25,2,2655200,4559.319824,4559.319824,4454.350098,4454.350098,4454.333902,-154.850097,-0.033595871
2003/2/26,3,2643600,4478.140137,4495.640137,4436.52002,4456.689941,4456.673737,2.339843,0.000525294
2003/2/27,4,2312200,4411.540039,4473.529785,4385.609863,4432.459961,4432.443845,-24.22998,-0.005436766
2003/3/3,1,2435200,4483.439941,4546.850098,4472.169922,4526.689941,4526.673483,94.22998,0.021259071
2003/3/4,2,2346800,4481.549805,4515.970215,4476.549805,4499.689941,4499.673581,-27,-0.005964623
2003/3/5,3,2514400,4457.459961,4475.970215,4411.970215,4418.109863,4418.0938,-81.580078,-0.018130155
2003/3/6,4,2251000,4443.339844,4451.399902,4385.580078,4397.439941,4397.423953,-20.669922,-0.004678454
2003/3/7,5,2210200,4352.72998,4403.390137,4312.279785,4350.589844,4350.574026,-46.850097,-0.010653948
2003/3/10,1,1798600,4370.680176,4384.640137,4308.52002,4319.990234,4319.974527,-30.59961,-0.007033439
2003/3/11,2,2417000,4272.02002,4313.589844,4240.600098,4260.450195,4260.434705,-59.540039,-0.013782448
2003/3/12,3,2314600,4275.580078,4328.149902,4254.410156,4328.149902,4328.134166,67.699707,0.015890271
2003/3/13,4,2681400,4320.47998,4400.830078,4298.459961,4378.990234,4378.974313,50.840332,0.011746435
2003/3/14,5,3540800,4519.200195,4532.970215,4469.990234,4476.169922,4476.153647,97.179688,0.02219226
2003/3/17,1,1970600,4441.799805,4441.799805,4357.879883,4357.990234,4357.974389,-118.179688,-0.026401966
2003/3/18,2,3322800,4504.819824,4569.120117,4488.279785,4539.720215,4539.703709,181.729981,0.04170041
2003/3/19,3,2615000,4533.450195,4547.850098,4495.029785,4515.069824,4515.053408,-24.650391,-0.005429936
2003/3/20,4,3560800,4584.470215,4613.689941,4505.459961,4599.25,4599.233278,84.180176,0.018644269
2003/3/21,5,2639400,4589.810059,4615.839844,4565.049805,4586.919922,4586.903244,-12.330078,-0.002680889
2003/3/24,1,1901800,4619.069824,4619.97998,4568.339844,4570.680176,4570.663557,-16.239746,-0.003540447
2003/3/25,2,1691600,4473.560059,4513.830078,4473.560059,4498.830078,4498.813721,-71.850098,-0.015719782
2003/3/26,3,1596000,4533.27002,4537,4489.620117,4496.049805,4496.033458,-2.780273,-0.000617999
2003/3/27,4,1702800,4467.740234,4514.240234,4467.160156,4514.240234,4514.223821,18.190429,0.004045869
2003/3/28,5,1626000,4513.259766,4517.509766,4465.279785,4477.009766,4476.993488,-37.230468,-0.008247339
2003/3/31,1,2013600,4442.100098,4442.100098,4306.540039,4321.220215,4321.204503,-155.789551,-0.03479768
2003/4/1,2,1586000,4275.390137,4338.240234,4275.390137,4337.609863,4337.594092,16.389648,0.003792829
2003/4/2,3,1653800,4339.160156,4351.709961,4295.149902,4311.560059,4311.544382,-26.049804,-0.006005566
2003/4/3,4,2006800,4394.430176,4411.069824,4357.850098,4358.390137,4358.37429,46.830078,0.010861516
2003/4/4,5,2863600,4343.430176,4499.180176,4339.200195,4499.180176,4499.163817,140.790039,0.032303221
2003/4/7,1,3518000,4505.740234,4597.22998,4479.120117,4575.830078,4575.813441,76.649902,0.017036415
2003/4/8,2,3329400,4559.220215,4606.899902,4544.830078,4552.450195,4552.433643,-23.379883,-0.00510943
2003/4/9,3,2622000,4539.299805,4544.899902,4509.299805,4537.390137,4537.373639,-15.060058,-0.003308121
2003/4/10,4,3591400,4537.149902,4597.5,4532.299805,4541.359863,4541.343351,3.969726,0.000874892
2003/4/11,5,2429200,4549.080078,4562.950195,4521.169922,4530.399902,4530.38343,-10.959961,-0.002413365
2003/4/14,1,1963800,4540.089844,4549.640137,4456.959961,4459.810059,4459.793843,-70.589843,-0.015581371
2003/4/15,2,1854600,4494.189941,4500.279785,4466.02002,4487.589844,4487.573527,27.779785,0.006228917
