id,date,price,change,volumn
1,2017/1/24,9447.95,0.0025,90355629
2,2017/1/23,9424.05,0.0099,78442540
3,2017/1/20,9331.46,0.0014,72733394
4,2017/1/19,9318.12,-0.0026,81677909
5,2017/1/18,9341.97,-0.0013,77677598
6,2017/1/17,9354.53,0.0067,58879214
7,2017/1/16,9292.33,-0.0092,58354654
8,2017/1/13,9378.83,-0.0033,72909568
9,2017/1/12,9410.18,0.0069,77843540
10,2017/1/11,9345.74,-0.0004,73941460
11,2017/1/10,9349.64,0.0008,60598143
12,2017/1/9,9342.42,-0.0032,64708958
13,2017/1/6,9372.22,0.0015,70913380
14,2017/1/5,9358.14,0.0077,77570633
15,2017/1/4,9286.96,0.0015,57298745
16,2017/1/3,9272.88,0.0021,46113898
17,2016/12/30,9253.5,0.011,57440768
18,2016/12/29,9153.09,-0.0053,52765537
19,2016/12/28,9201.4,0.0101,47787720
20,2016/12/27,9109.27,-0.0001,33728533
21,2016/12/26,9110.54,0.0035,32303039
22,2016/12/23,9078.64,-0.0044,53371654
23,2016/12/22,9118.75,-0.0093,58285930
24,2016/12/21,9204.26,-0.0041,59331527
25,2016/12/20,9242.41,0.0003,60343314
26,2016/12/19,9239.32,-0.0094,58090807
27,2016/12/16,9326.78,-0.0036,80406391
28,2016/12/15,9360.35,-0.0009,71903813
29,2016/12/14,9368.52,-0.0015,67479724
30,2016/12/13,9382.14,0.0034,70197974
31,2016/12/12,9349.94,-0.0046,74175683
32,2016/12/9,9392.68,0.0018,78068803
33,2016/12/8,9375.86,0.0121,91034926
34,2016/12/7,9263.89,0.0014,66724838
35,2016/12/6,9250.77,0.0098,71426220
36,2016/12/5,9160.66,-0.0031,63592584
37,2016/12/2,9189.49,-0.008,76297964
38,2016/12/1,9263.53,0.0025,75155573
39,2016/11/30,9240.71,0.0053,107648845
40,2016/11/29,9192.38,-0.0032,75711056
41,2016/11/28,9222.24,0.0069,72592036
42,2016/11/25,9159.07,0.0008,58802328
43,2016/11/24,9152.11,-0.0028,65397719
44,2016/11/23,9178.23,0.0049,75384902
45,2016/11/22,9133.39,0.0102,81661771
46,2016/11/21,9041.11,0.0036,62875145
47,2016/11/18,9008.79,0.0015,70078736
48,2016/11/17,8995.26,0.0037,64481024
49,2016/11/16,8962.22,0.0035,78312045
50,2016/11/15,8931.03,-0.001,80380985
51,2016/11/14,8940.4,-0.0019,98452839
52,2016/11/11,8957.76,-0.0212,114082554
53,2016/11/10,9152.18,0.0234,89574137
54,2016/11/9,8943.2,-0.0298,119746734
55,2016/11/8,9217.43,0.003,57810135
56,2016/11/7,9189.84,0.0134,56453320
57,2016/11/4,9068.15,0.0001,53149641
58,2016/11/3,9067.27,-0.0079,67542159
59,2016/11/2,9139.04,-0.0144,64249958
60,2016/11/1,9272.7,-0.0019,49384447
61,2016/10/31,9290.12,-0.0018,59927008
62,2016/10/28,9306.92,0.0008,64114045
63,2016/10/27,9299.55,-0.0067,67880845
64,2016/10/26,9362.25,-0.0025,61344471
